"","maeduc","paeduc","educ","paocc10","sibs","incom16","family16","race","sex","cohort"
"1",8,8,12,9120,5,3,1,1,2,1924
"2",12,16,17,120,5,3,1,1,2,1945
"3",8,8,12,8030,2,2,1,1,2,1911
"4",19,18,14,1460,1,3,1,1,1,1946
"5",12,16,13,4810,7,4,1,1,1,1944
"6",14,16,16,4700,1,3,1,1,1,1945
"7",7,10,12,9130,7,1,1,2,2,1942
"8",NA,12,13,4220,7,2,2,2,2,1942
"9",8,NA,6,NA,6,3,7,2,1,1916
"10",5,5,9,4230,2,2,8,2,1,1918
"11",10,NA,8,NA,2,1,7,2,2,1923
"12",3,NA,9,NA,0,3,8,2,1,1931
"13",0,NA,14,NA,7,1,5,2,1,1918
"14",8,NA,8,NA,2,3,7,1,2,1910
"15",18,8,17,8610,2,4,1,1,2,1926
"16",NA,NA,12,6200,2,4,1,1,1,1915
"17",12,8,11,9130,1,3,1,1,1,1914
"18",12,8,12,6420,7,3,2,1,2,1946
"19",8,7,12,9997,7,3,1,1,2,1919
"20",8,12,12,6230,5,3,1,1,1,1930
"21",10,12,12,520,4,3,1,1,2,1930
"22",6,6,6,NA,6,3,1,1,1,1946
"23",12,NA,14,NA,2,3,5,1,2,1947
"24",12,12,16,5140,1,3,1,1,1,1946
"25",12,12,14,8300,7,3,1,1,1,1945
"26",8,NA,13,205,3,2,8,1,2,1914
"27",NA,NA,10,205,5,3,8,1,2,1937
"28",NA,NA,6,205,4,3,2,1,1,1914
"29",8,3,12,4700,5,4,1,1,2,1921
"30",14,8,14,205,2,3,1,1,1,1919
"31",3,NA,8,NA,4,3,5,1,1,1933
"32",NA,NA,8,6840,7,3,2,1,2,1908
"33",8,8,8,205,7,3,1,1,2,1922
"34",8,12,12,205,3,3,1,1,2,1945
"35",16,8,14,9997,3,3,1,1,1,1947
"36",NA,NA,12,6230,3,4,1,1,1,1923
"37",8,8,9,205,3,2,1,1,1,1932
"38",8,8,8,205,7,3,1,1,1,1929
"39",8,14,10,6240,0,2,1,1,1,1926
"40",12,10,14,9997,6,1,1,1,1,1935
"41",3,3,9,205,6,2,1,1,1,1926
"42",4,NA,10,NA,4,3,5,1,2,1919
"43",11,NA,12,NA,3,4,5,1,1,1937
"44",12,12,14,4920,1,3,1,1,2,1941
"45",12,12,12,6230,6,3,1,1,2,1942
"46",11,NA,12,NA,2,3,5,1,2,1935
"47",NA,NA,11,205,7,3,1,1,2,1915
"48",14,NA,12,NA,2,4,5,1,1,1933
"49",8,NA,9,6050,1,2,1,1,2,1910
"50",8,8,12,6050,2,3,8,1,1,1921
"51",12,6,11,4500,7,3,1,1,1,1929
"52",8,8,12,205,1,2,1,1,1,1933
"53",4,4,8,4020,1,4,1,1,2,1920
"54",12,8,12,7700,2,3,1,1,1,1942
"55",10,12,12,4500,2,4,1,1,2,1925
"56",8,12,12,9120,3,3,1,1,2,1941
"57",10,12,16,430,2,4,1,1,1,1947
"58",11,3,7,205,7,1,1,1,1,1927
"59",10,12,12,6440,7,3,1,1,2,1942
"60",NA,10,11,3850,2,3,4,1,2,1909
"61",5,12,10,6220,2,3,1,1,2,1926
"62",4,4,8,20,6,3,1,1,2,1917
"63",6,11,12,5610,3,2,1,1,2,1917
"64",4,4,7,9240,5,NA,1,1,1,1928
"65",8,8,12,7700,2,3,1,1,2,1931
"66",NA,NA,15,NA,5,3,7,1,1,1923
"67",12,15,15,5120,3,3,1,1,2,1944
"68",14,16,17,1410,1,3,1,1,1,1946
"69",17,20,20,3060,3,5,1,1,2,1941
"70",NA,NA,18,NA,4,3,8,1,2,1944
"71",12,NA,17,NA,2,3,5,1,1,1946
"72",19,12,16,3010,3,4,1,1,1,1947
"73",8,8,12,205,2,3,1,1,2,1915
"74",11,NA,13,NA,4,3,5,1,2,1914
"75",12,12,14,400,1,3,1,1,1,1918
"76",8,8,16,9130,2,3,1,1,2,1937
"77",12,13,14,4760,3,3,1,1,1,1932
"78",8,8,15,9997,0,3,1,1,1,1915
"79",14,18,16,3060,7,5,1,1,2,1908
"80",10,8,15,4220,1,2,1,1,1,1938
"81",12,10,12,205,1,3,1,1,2,1947
"82",12,NA,9,9830,5,3,1,1,1,1944
"83",12,13,13,4700,2,3,1,1,1,1931
"84",13,6,12,205,1,3,2,1,2,1936
"85",16,8,15,205,3,2,1,1,1,1941
"86",8,NA,12,205,0,3,8,1,1,1927
"87",4,5,12,9415,6,3,8,1,2,1908
"88",2,16,16,5920,1,4,1,1,2,1945
"89",10,12,13,7700,4,2,1,1,1,1930
"90",NA,6,3,205,1,1,6,2,1,1925
"91",12,NA,12,NA,3,2,5,2,1,1946
"92",8,7,10,8000,7,2,1,1,2,1938
"93",8,4,14,1760,6,2,8,1,1,1920
"94",13,16,14,9997,1,4,2,1,2,1936
"95",NA,3,8,6050,7,3,4,2,1,1947
"96",0,NA,11,NA,4,2,5,2,2,1926
"97",NA,1,2,6050,5,4,6,2,2,1918
"98",NA,NA,12,NA,7,3,5,2,2,1945
"99",12,NA,6,NA,7,2,5,2,1,1919
"100",3,3,3,205,7,3,1,2,1,1925
"101",NA,NA,12,8030,1,3,4,1,2,1923
"102",8,8,16,6355,2,3,1,1,2,1943
"103",8,NA,12,6440,4,4,1,1,2,1924
"104",1,4,12,7360,1,3,1,1,1,1934
"105",4,3,15,8030,6,3,1,1,1,1926
"106",8,8,8,205,4,3,1,1,2,1909
"107",12,NA,11,NA,0,2,5,1,2,1938
"108",NA,NA,4,205,7,3,3,1,1,1915
"109",8,NA,8,NA,0,2,5,1,1,1926
"110",8,4,12,8640,1,3,1,1,1,1919
"111",NA,5,14,4040,7,3,4,1,1,1945
"112",8,NA,12,NA,1,2,5,1,1,1931
"113",10,5,10,1350,4,3,1,1,1,1934
"114",8,7,12,9997,7,3,1,1,2,1913
"115",8,12,12,7700,0,3,1,1,1,1930
"116",8,NA,12,9300,1,3,1,1,1,1924
"117",8,8,10,3740,7,3,1,1,2,1913
"118",10,12,11,7020,3,3,1,1,2,1933
"119",3,5,12,205,7,3,1,1,2,1923
"120",10,NA,12,NA,6,1,5,1,2,1939
"121",8,4,11,205,6,1,1,1,2,1919
"122",8,NA,12,NA,0,2,5,1,2,1942
"123",10,12,12,8220,3,3,1,1,1,1947
"124",NA,NA,9,NA,2,2,8,1,2,1936
"125",12,NA,12,NA,3,2,5,1,1,1942
"126",8,NA,9,8810,7,3,3,1,1,1944
"127",12,NA,8,NA,7,2,5,1,1,1920
"128",12,12,10,9997,1,3,1,1,1,1928
"129",13,8,18,2110,2,4,1,1,1,1922
"130",18,10,18,1360,7,5,1,1,2,1934
"131",12,12,18,9997,2,4,1,1,1,1946
"132",16,14,12,205,2,3,1,1,2,1944
"133",6,8,12,9997,1,2,1,1,2,1917
"134",12,NA,12,NA,1,2,5,1,1,1943
"135",14,8,19,6520,1,4,1,1,1,1911
"136",11,12,16,5600,2,3,1,1,1,1946
"137",12,16,14,7700,3,4,1,1,2,1933
